职位, 工资, 经验要求, 职位一级分类, 职位二级分类, 公司名称, 城市, 学历, 公司规模, 公司阶段, 公司业务领域
交易员, 8, 不, 金融, 投融资, 德通汇富, 北京, 学历不限, 150, 成长型, 金融
交易员, 8, 不, 金融, 投融资, 德通汇富, 北京, 学历不限, 150, 成长型, 金融
交易员, 5, 1年以, 金融, 投融资, 财猫网, 郑州, 学历不限, 50, 成长型, 金融
交易员, 10, 不, 金融, 投融资, 佰润明辉, 北京, 学历不限, 150, 成长型, 移动互联网 · 金融
交易员, 11, 不, 金融, 投融资, 佰润明辉, 北京, 大专, 150, 成长型, 移动互联网 · 金融
交易员, 6, 不, 市场与销售, 市场/营销, 玻璃博士, 上海, 学历不限, 15, 初创型, 电子商务
交易员, 7, 1, 市场与销售, 销售, 零库网络, 上海, 大专, 15, 初创型, 电子商务
交易员, 6, 不, 金融, 投融资, 北京麦田, 北京, 大专, 2000, 成熟型, 生活服务
交易员, 8, 不, 金融, 投融资, 佰润明辉, 北京, 大专, 150, 成长型, 金融
交易员, 6, 1年以, 市场与销售, 销售, 上海钢联电子商务股份有限公司, 上海, 本科, 500, 上市公, 移动互联网 · 电子商务
交易员, 9, 不, 金融, 投融资, 佰润明辉, 北京, 大专, 150, 成长型, 金融
操盘手, 3, 不, 金融, 投融资, 天津莱恩企业管理咨询有限公司, 天津, 大专, 50, 初创型, 金融
操盘手, 3, 不, 金融, 投融资, 天津莱恩企业管理咨询有限公司, 天津, 学历不限, 50, 初创型, 金融
交易员, 6, 应届毕业, 金融, 投融资, 金溢宝资本, 张家港, 本科, 15, 初创型, 金融 · 数据服务
交易员, 5, 1年以, 金融, 投融资, 赣元投资, 上海, 大专, 15, 初创型, 移动互联网
交易员, 12, 不, 金融, 投融资, 德通汇富, 北京, 学历不限, 150, 成长型, 金融
交易员, 8, 不, 金融, 投融资, 德通汇富, 北京, 学历不限, 150, 成长型, 金融
交易员操盘手, 13, 不, 金融, 投融资, 佰润明辉, 北京, 大专, 150, 成长型, 移动互联网 · 金融
交易员, 11, 不, 金融, 投融资, 佰润明辉, 北京, 学历不限, 150, 成长型, 移动互联网 · 金融
交易员, 30, 不, 金融, 高端金融职位, 佰润明辉, 北京, 大专, 150, 成长型, 金融
